"ticket_id","title","body","created_at","customer_plan","severity","source"
"CLIN-1026","Search query with apostrophe breaks list","Searching O'Neil returns a request error instead of filtering patients.","2026-05-02T10:11:00","Business","medium","web"
"CLIN-1027","Patient list ignores role after sign out","I signed out and still saw the patient directory until refreshing the page.","2026-05-02T10:40:00","Enterprise","high","email"
"CLIN-1028","Patient cards show unknown demographics too often","Several uploaded bundles include birthDate and gender, but the list shows Unknown fields.","2026-05-02T11:04:00","Pro","medium","web"
"CLIN-1029","Search limit max error not surfaced","If I call the patient API with limit over 100, the frontend just shows generic failure.","2026-05-02T11:26:00","Business","low","chat"
"CLIN-1030","Patient list not refreshed after seed script","After running seed_demo_data.py, dashboard still says no patients until server restart.","2026-05-02T11:55:00","Enterprise","medium","email"
"CLIN-1031","Timeline missing encounter event","Patient chart shows conditions and observations, but the encounter from the bundle is not on the timeline.","2026-05-02T12:16:00","Enterprise","high","web"
"CLIN-1032","Allergy +N more popover hard to open","The allergy overflow chip disappears when I move the mouse toward the popover.","2026-05-02T12:40:00","Pro","low","chat"
"CLIN-1033","Medication status displayed incorrectly","Stopped medication is shown as active in the patient chart. This is risky for clinical review demos.","2026-05-02T13:05:00","Enterprise","critical","email"
"CLIN-1034","Condition onset date missing","FHIR Condition has onsetDateTime but chart condition list shows no onset date.","2026-05-02T13:28:00","Business","medium","web"
"CLIN-1035","Observation value units are dropped","Recent observations show numeric value but not units, so A1c and BP readings are unclear.","2026-05-02T14:02:00","Enterprise","high","email"
"CLIN-1036","Chart page crashes for sparse patient","Patient with demographics only opens a blank page. Expected empty sections and quality warnings.","2026-05-02T14:31:00","Enterprise","high","web"
"CLIN-1037","Citation chips do not scroll on mobile","On the patient detail page, citation chips overflow the card on iPhone width.","2026-05-02T15:10:00","Business","low","chat"
"CLIN-1038","Timeline sort order looks reversed","Older encounters are showing above newer observations. Clinicians expected most recent first.","2026-05-02T15:33:00","Pro","medium","email"
"CLIN-1039","Patient header allergies duplicate","Same allergy appears twice in the header after re-uploading the bundle.","2026-05-02T16:08:00","Enterprise","medium","web"
"CLIN-1040","Chart page shows raw IDs only","Some source citations show internal database IDs but not resource type or source system, making review hard.","2026-05-02T16:44:00","Enterprise","medium","email"
"CLIN-1041","AI summary says no diabetes despite condition","Patient has active diabetes condition, but grounded AI summary says no diabetes documented.","2026-05-03T08:05:00","Enterprise","critical","email"
"CLIN-1042","Care gap missing A1c suggestion","Diabetes patient with no A1c observation does not show the Review A1c monitoring care gap.","2026-05-03T08:23:00","Enterprise","high","web"
"CLIN-1043","AI insights endpoint returns 404 for existing patient","Patient chart loads, but /ai-insights returns Patient not found for the same ID.","2026-05-03T08:51:00","Business","high","email"
"CLIN-1044","Hallucination risk high for grounded demo patient","All citations resolve, but evaluation still marks hallucination risk high.","2026-05-03T09:14:00","Enterprise","medium","web"
"CLIN-1045","Unsupported citation not flagged","I saw a summary claim with citation ID not present in citations, but evaluation said zero unresolved citations.","2026-05-03T09:36:00","Enterprise","high","email"
"CLIN-1046","Care gaps repeat same active condition","The care gaps list shows active condition without encounter context multiple times for one patient.","2026-05-03T10:02:00","Pro","medium","chat"
"CLIN-1047","AI insights panel slow on chart open","Opening patient insights takes around 12 seconds for generated hospital data.","2026-05-03T10:21:00","Enterprise","high","web"
"CLIN-1048","Contradiction detection misses resolved vs active","Priya Nair test chart should flag same condition as active and resolved, but no inconsistency appears.","2026-05-03T10:49:00","Enterprise","high","email"
"CLIN-1049","Citations not clickable in insights","Source citation chips are visible but clicking them does not show the source record.","2026-05-03T11:20:00","Business","low","chat"
"CLIN-1050","AI summary omits allergies section","Patient with five allergies gets a summary with conditions and meds but no allergy section.","2026-05-03T11:45:00","Enterprise","medium","web"
"CLIN-1051","Quality alerts hidden from data reviewer","Logged in as data_reviewer. Patient chart loads but quality alerts panel is missing.","2026-05-03T12:10:00","Enterprise","high","email"
"CLIN-1052","Missing demographics not flagged","Uploaded patient without birthDate and gender but quality alerts say the chart is complete.","2026-05-03T12:36:00","Business","medium","web"
"CLIN-1053","Quality alerts require admin only","Care team expects data_reviewer role to view quality alerts, but API returns unauthorized.","2026-05-03T13:02:00","Enterprise","high","chat"
"CLIN-1054","Incomplete clinical record warning not specific","Quality alert says incomplete record but does not identify missing meds, encounters, or allergies.","2026-05-03T13:24:00","Pro","low","email"
"CLIN-1055","Sparse patient has no quality warning","Sparse diabetes demo patient should show coverage gaps, but no warnings appear.","2026-05-03T13:58:00","Enterprise","high","web"
"CLIN-1056","Quality alerts endpoint fails on deleted patient","After removing a patient from DB manually, quality alerts endpoint throws 500 instead of 404.","2026-05-03T14:21:00","Business","medium","email"
"CLIN-1057","Quality alert count differs from UI","API returns three quality alerts, but the patient page shows two.","2026-05-03T14:46:00","Enterprise","medium","web"
"CLIN-1058","No quality alert for no allergy records","Patient has no AllergyIntolerance resources and should show No allergy records found.","2026-05-03T15:06:00","Pro","medium","chat"
"CLIN-1059","Quality cards overflow on small screen","On a laptop split screen, quality alert text overlaps the citation chips.","2026-05-03T15:34:00","Business","low","web"
"CLIN-1060","Data quality role can open AI summary","Data reviewer role is meant for quality/source metadata, but AI summary is visible after navigation.","2026-05-03T16:05:00","Enterprise","medium","email"
"CLIN-1061","Patient chat refuses safe question","Asked Has this patient had an A1c recently? and the assistant refused as medical advice.","2026-05-04T08:02:00","Enterprise","medium","web"
"CLIN-1062","Patient chat answer missing citations","Chat answered about blood pressure readings but returned zero citations.","2026-05-04T08:26:00","Enterprise","high","email"
"CLIN-1063","Patient chat uses another patient evidence","Question on patient 3 returned medication details from patient 1.","2026-05-04T08:55:00","Enterprise","critical","email"
"CLIN-1064","Chat audit log missing question text","Patient chat works but audit event metadata does not include the asked question.","2026-05-04T09:20:00","Business","medium","web"
"CLIN-1065","Chat response says LLM used when disabled","With no LLM provider configured, chat response says llm_used true.","2026-05-04T09:44:00","Pro","medium","chat"
"CLIN-1066","Patient chat hangs on medication question","Asked active medications and the patient chat panel stayed loading until refresh.","2026-05-04T10:09:00","Enterprise","high","web"
"CLIN-1067","Chat should not recommend treatment","Asked what should we prescribe and it suggested medication changes instead of refusing treatment advice.","2026-05-04T10:37:00","Enterprise","critical","email"
"CLIN-1068","Chat cannot answer allergy question","Patient has allergies but chat says no allergy records documented.","2026-05-04T11:05:00","Business","medium","web"
"CLIN-1069","Chat citations are unresolved","Answer includes citation IDs but they do not match any visible source records on chart.","2026-05-04T11:28:00","Enterprise","high","email"
"CLIN-1070","Chat panel loses answer when switching patients","I asked a question, navigated back to directory, opened another patient, and old loading state remained.","2026-05-04T11:57:00","Pro","low","chat"
"CLIN-1071","Login fails for seeded demo user","Seeded CMIO demo credentials fail with invalid username or password after running seed script.","2026-05-04T12:15:00","Enterprise","high","email"
"CLIN-1072","Role label shows underscores","Dashboard displays care_coordinator instead of Care Coordinator.","2026-05-04T12:42:00","Free","low","web"
"CLIN-1073","Sign out does not clear token","After signing out, API calls still succeed until the browser is refreshed.","2026-05-04T13:04:00","Enterprise","high","web"
"CLIN-1074","Clinician can see upload tools","Logged in as clinician but upload panel is visible. That should be admin/data reviewer only.","2026-05-04T13:30:00","Enterprise","high","email"
"CLIN-1075","Auth me endpoint returns old role","Changed user role in DB from clinician to admin, but /auth/me still returns clinician.","2026-05-04T13:51:00","Business","medium","chat"
"CLIN-1076","Login page has no error detail","Wrong password just clears the form. User needs a visible invalid credentials message.","2026-05-04T14:18:00","Pro","low","web"
"CLIN-1077","Data reviewer can access AI insights route","Direct URL to ai-insights succeeds for data_reviewer even though permissions list does not include grounded summary.","2026-05-04T14:44:00","Enterprise","medium","email"
"CLIN-1078","Token survives browser tab close","User expected session clear, but token persisted and patient charts opened next morning.","2026-05-04T15:11:00","Business","low","chat"
"CLIN-1079","Demo users panel missing after login","Signed in successfully but the Demo Users panel disappeared from dashboard.","2026-05-04T15:33:00","Free","low","web"
"CLIN-1080","Unauthorized response not handled","When API returns 401, frontend panels keep spinning instead of taking user to sign in.","2026-05-04T16:02:00","Enterprise","medium","email"
"CLIN-1081","Audit log patient filter ignored","Filtering audit logs by patient_id still returns events for all patients.","2026-05-04T16:26:00","Enterprise","high","web"
"CLIN-1082","Audit list sorted oldest first","Audit log page shows old events first. Reviewers need latest events first.","2026-05-04T16:51:00","Business","low","chat"
"CLIN-1083","Patient chart access not audited","Opening a patient chart does not create patient access audit event for clinician role.","2026-05-04T17:16:00","Enterprise","high","email"
"CLIN-1084","AI insight audit missing citation count","Viewing insights writes audit event but citation_count is null.","2026-05-04T17:39:00","Enterprise","medium","web"
"CLIN-1085","Audit log metadata not readable","Metadata is displayed as raw JSON in one long line and reviewers cannot scan it.","2026-05-04T18:03:00","Pro","low","chat"
"CLIN-1086","dbt transformation audit accepts bad status","Posting status typo to dbt audit route still writes completed event.","2026-05-04T18:26:00","Enterprise","medium","email"
"CLIN-1087","Audit log action filter case sensitive","Searching action user_login works but User_Login returns no results.","2026-05-04T18:50:00","Business","low","web"
"CLIN-1088","External FHIR search not audited on failure","When SMART search fails with 502 there is no audit record of the attempted search.","2026-05-04T19:12:00","Enterprise","medium","email"
"CLIN-1089","Audit page visible to clinician","Clinician role can open /audit directly even though link is hidden.","2026-05-04T19:40:00","Enterprise","medium","web"
"CLIN-1090","Audit pagination count wrong","Audit endpoint says total 50 while there are more than 200 events after demo run.","2026-05-04T20:06:00","Business","low","chat"
"CLIN-1091","Generated FHIR bundles missing allergies","Pipeline generated patient bundles from raw hospital data but AllergyIntolerance resources are absent.","2026-05-05T08:10:00","Enterprise","high","email"
"CLIN-1092","dbt run drops medication status","Curated medication_requests view has medication text but status is null for active meds.","2026-05-05T08:37:00","Enterprise","high","web"
"CLIN-1093","Stable IDs change across reruns","Running same seed and batch id generated different FHIR resource IDs, breaking citations.","2026-05-05T09:04:00","Enterprise","critical","email"
"CLIN-1094","Generated encounters have end before start","Synthetic pipeline produced encounters where end date is before start date.","2026-05-05T09:32:00","Business","medium","web"
"CLIN-1095","FHIR generator ignores FHIR_LIMIT","Set FHIR_LIMIT=25 but generated more than 25 bundle files.","2026-05-05T09:58:00","Pro","medium","chat"
"CLIN-1096","dbt schema tests fail silently","dbt-run container exits 0 even though staging schema tests fail.","2026-05-05T10:21:00","Enterprise","high","email"
"CLIN-1097","Raw load rerun duplicates rows","Rerunning generate_hospital_data.py with same source_system and batch id doubled raw diagnoses.","2026-05-05T10:52:00","Enterprise","critical","web"
"CLIN-1098","Metrics script reports impossible precision","measure_demo_metrics.py printed alert precision over 100 percent after seed demo.","2026-05-05T11:18:00","Business","medium","chat"
"CLIN-1099","Pipeline bundle cannot be uploaded","Generated FHIR bundle from backend/data/generated_fhir_bundles fails upload as invalid Bundle.","2026-05-05T11:44:00","Enterprise","high","email"
"CLIN-1100","dbt audit route not called by pipeline","After full Docker pipeline, audit logs do not include dbt_transformation_completed.","2026-05-05T12:11:00","Enterprise","medium","web"
